公司名,城市, 地址
绍兴县汇金小额贷款股份有限公司 ,浙江省
, 绍兴县柯桥瓜渚旺角中心405-411室
德清升华小额贷款股份有限公司 ,浙江省
, 浙江省德清县武康镇曲园北路92号
台州市椒江金丰小额贷款有限公司 ,浙江省
, 台州市椒江区云西路321-325号
嘉禾县自来水有限责任公司 ,湖南省
, 嘉禾县珠泉镇鳌峰路1号
遵义市新区建筑安装有限公司 ,贵州省
, 贵州省遵义市遵义市新蒲镇
中建投工程技术有限公司 ,河南省
, 郑州市金水区政七街4号
山东泉兴中联水泥有限公司 ,山东省
, 枣庄市高新区光源路77号
浙江网新联合工程有限公司 ,浙江省
, 杭州市滨江区长河街道江汉路1785号网新双城大厦4幢701-1室
乐清市宝乐能源实业有限公司 ,浙江省
, 乐清市南塘镇外塘村
湖州金冶电子材料股份有限公司 ,浙江省
, 湖州吴兴区八里店镇谈家扇村
浙江华金康工贸有限公司 ,浙江省
, 湖州市菱湖镇竹墩工业园区
浙江省诸暨市龙翔纤维有限公司 ,浙江省
, 诸暨市陶朱街道家纺园区
宁波华宁围海工程有限公司 ,浙江省
, 宁海县跃龙街道兴宁中路63号
浙江百德纺织有限公司 ,浙江省
, 浙江省德清县雷甸镇白云南路389号
中国水产舟山海洋渔业公司 ,浙江省
, 浙江省舟山市普陀区沈家门街道兴海路1号（普陀区平阳浦）
诸暨市水务集团有限公司 ,浙江省
, 诸暨市暨阳街道丰民路19号
衢州市柯城区利民城乡建设投资开发有限责任公司 ,浙江省
, 衢州市双港中路18号1幢408室
杭州中科赛思节能设备有限公司 ,浙江省
, 桐庐县桐庐经济开发区滩头路77号
杭州临江投资发展有限公司 ,浙江省
, 萧山临江高新技术产业园区
杭州深瑞水务有限公司 ,浙江省
, 杭州余杭区仁和街道东山村
浙江天地钢结构有限公司 ,浙江省
, 衢州市东港四路5号
浙江博世华环保科技有限公司 ,浙江省
, 杭州市莫干山路1418-40号9层、10层（上城科技工业基地）
舟山中昌海运有限责任公司 ,浙江省
, 舟山市定海区青垒头路5号
宁波市商贸集团有限公司 ,浙江省
, 宁波市海曙区中山东路81号
嘉兴市联众实业投资有限公司 ,浙江省
, 嘉兴市南湖区凤桥镇凤飞路99号一楼
宁波轿辰集团股份有限公司 ,浙江省
, 宁波市江东区环城南路东段777号世纪汽车城内
绍兴益泉大酒店有限公司 ,浙江省
, 绍兴市袍江工业区世纪广场
飞虎科技有限公司 ,浙江省
, 桐乡市濮院镇恒乐路688号
绍兴杰龙玻璃有限公司 ,浙江省
, 绍兴县滨海工业区兴滨路
安吉紫梅实业有限公司 ,浙江省
, 安吉县梅溪镇人民路
上海城投控股股份有限公司 ,上海市
, 浦东新区北艾路1540号
首创置业股份有限公司 ,北京市
, 北京市怀柔区青春路26号1幢6008室
上海隧道工程股份有限公司 ,上海市
, 上海市浦东新区海徐路957号
中华企业股份有限公司 ,上海市
, 上海市华山路2号
上海张江高科技园区开发股份有限公司 ,上海市
, 浦东新区龙东大道200号
苏州新区高新技术产业股份有限公司 ,江苏省
, 苏州市新区运河路８号
珠海华发实业股份有限公司 ,广东省
, 珠海市昌盛路155号
北京城建投资发展股份有限公司 ,北京市
, 北京市海淀区大柳树富海中心2号楼19层
北京北辰实业股份有限公司 ,北京市
, 北京市朝阳区北辰东路8号
河南银鸽实业投资股份有限公司 ,河南省
, 漯河市召陵区人民东路6号
西部矿业股份有限公司 ,青海省
, 青海省西宁市五四大街52号
云南云维股份有限公司 ,云南省
, 云南省曲靖市沾益县盘江镇花山工业区
柳州钢铁股份有限公司 ,广西壮族自治区
, 广西柳州市北雀路１１７号
西宁特殊钢股份有限公司 ,青海省
, 西宁市柴达木西路52号
安徽海螺水泥股份有限公司 ,安徽省
, 安徽省芜湖市文化路39号
海南航空股份有限公司 ,海南省
, 中国海南省海口市国兴大道7号海航大厦
大连港股份有限公司 ,辽宁省
, 辽宁省大连保税区大窑湾新港商务大厦
江苏连云港港口股份有限公司 ,江苏省
, 连云港市连云区庙岭港区港口四路8号
安徽皖通高速公路股份有限公司 ,安徽省
, 安徽省合肥市望江西路520号
南京高科股份有限公司 ,江苏省
, 南京经济技术开发区新港大道129号
上海新黄浦置业股份有限公司 ,上海市
, 上海市北京东路668号西楼32层
招金矿业股份有限公司 ,山东省
, 招远市金晖路299号
营口港务股份有限公司 ,辽宁省
, 营口市鲅鱼圈区营港路１号
哈尔滨投资集团有限责任公司 ,黑龙江省
, 哈尔滨市南岗区汉水路１７２号
西藏城市发展投资股份有限公司 ,西藏自治区
, 西藏自治区拉萨市金珠西路75号2楼
湖北清能地产集团有限公司 ,湖北省
, 湖北省武汉市武昌区中华路57号
湖北兴发化工集团股份有限公司 ,湖北省
, 兴山县古夫镇高阳大道58号
福建发展高速公路股份有限公司 ,福建省
, 福州市东水路１８号交通综合大楼
广西金融投资集团有限公司 ,广西壮族自治区
, 南宁市青秀区金浦路２２号名都苑１号商住楼十二层
江西长运股份有限公司 ,江西省
, 江西省南昌市西湖区广场南路118号
哈尔滨好民居建设投资发展有限公司 ,黑龙江省
, 哈尔滨市道里区建国街30号
浙江海正药业股份有限公司 ,浙江省
, 浙江省台州市椒江区外沙路46号
广东粤运交通股份有限公司 ,广东省
, 广州市白云区机场路1731-1735号8楼
联发集团有限公司 ,福建省
, 厦门市湖里区湖里大道31号
珠海格力房产有限公司 ,广东省
, 珠海市北岭工业区
新疆金融投资有限公司 ,新疆维吾尔自治区
, 新疆乌鲁木齐市天山区金银路53号
杭州市实业投资集团有限公司 ,浙江省
, 杭州市西湖区保俶路宝石山下四弄13号
广州越秀集团有限公司 ,广东省
, 广州市天河区珠江新城珠江西路5号广州国际金融中心65楼
上海集优机械股份有限公司 ,上海市
, 上海市恒丰路600号机电大厦1501室
上海申通地铁股份有限公司 ,上海市
, 上海市浦电路489号
江中药业股份有限公司 ,江西省
, 江西省南昌市高新区火炬大道788号
青海金瑞矿业发展股份有限公司 ,青海省
, 西宁市朝阳西路112号
浙江尖峰集团股份有限公司 ,浙江省
, 浙江省金华市婺江东路88号
上海电气集团股份有限公司 ,上海市
, 上海市兴义路8号30层
开滦能源化工股份有限公司 ,河北省
, 唐山市新华东道70号东楼
山西兰花科技创业股份有限公司 ,山西省
, 晋城市凤台东街2288号
重庆水务集团股份有限公司 ,重庆市
, 重庆市渝中区龙家湾1号
新余钢铁股份有限公司 ,江西省
, 江西省新余市铁焦路
新天绿色能源股份有限公司 ,河北省
, 石家庄市裕华西路9号
深圳高速公路股份有限公司 ,广东省
, 深圳市福田区益田路江苏大厦裙楼2-4层
湘潭电机股份有限公司 ,湖南省
, 湖南省湘潭市下摄司街302号
凌源钢铁股份有限公司 ,辽宁省
, 辽宁省凌源市钢铁路３号
广东肇庆星湖生物科技股份有限公司 ,广东省
, 肇庆市工农北路６７号
瀚蓝环境股份有限公司 ,广东省
, 佛山市南海区桂城南海大道建行大厦
杭州钢铁股份有限公司 ,浙江省
, 杭州市拱墅区半山路178号
上海浦东路桥建设股份有限公司 ,上海市
, 浦东新区佳林路1028号
马鞍山钢铁股份有限公司 ,安徽省
, 安徽省马鞍山市九华西路8号
重庆机电股份有限公司 ,重庆市
, 重庆市北部新区黄山大道中段60号
广西桂东电力股份有限公司 ,广西壮族自治区
, 贺州市平安西路１２号
鲁信创业投资集团股份有限公司 ,山东省
, 淄博市高新技术产业开发区裕民路129号
吉林高速公路股份有限公司 ,吉林省
, 长春市宽城区兰家镇兰家大街155号
江西洪城水业股份有限公司 ,江西省
, 江西省南昌市西湖区灌婴路98号
新疆天富能源股份有限公司 ,新疆维吾尔自治区
, 新疆石河子市红星路
北京京能清洁能源电力股份有限公司 ,北京市
, 北京市延庆县八达岭经济开发区紫光东路1号118室
厦门厦工机械股份有限公司 ,福建省
, 厦门市思明区厦禾路668号
广州发展集团股份有限公司 ,广东省
, 广州市天河区临江大道3号28-30楼
长春欧亚集团股份有限公司 ,吉林省
, 朝阳区工农大路1128号
日照港股份有限公司 ,山东省
, 日照市海滨二路
柳州化工股份有限公司 ,广西壮族自治区
, 广西柳州市北鹊路６７号
北京昊华能源股份有限公司 ,北京市
, 北京市门头沟区新桥南大街2号
上海实业发展股份有限公司 ,上海市
, 中国（上海）自由贸易试验区浦东南路1085号
上海金桥出口加工区开发股份有限公司 ,上海市
, 中国（上海）自由贸易试验区金桥路28号
武汉三镇实业控股股份有限公司 ,湖北省
, 武汉经济技术开发区联发大厦
内蒙古包钢钢联股份有限公司 ,内蒙古自治区
, 内蒙古自治区包头市昆区河西工业区
北京巴士传媒股份有限公司 ,北京市
, 北京市海淀区紫竹院路32号
云南省能源投资集团有限公司 ,云南省
, 云南省昆明市人民中路美亚大厦19-23层
北京天恒置业集团有限公司 ,北京市
, 北京市西城区阜外大街31号
北京首都开发股份有限公司 ,北京市
, 北京市东城区安定门外大街183号京宝花园二层
湖北楚天高速公路股份有限公司 ,湖北省
, 武汉市汉阳区龙阳大道9号
华远地产股份有限公司 ,湖北省
, 北京市西城区北展北街11号华远企业中心11#楼
京投银泰股份有限公司 ,浙江省
, 海曙中山东路２３８号
四川路桥建设集团股份有限公司 ,四川省
, 成都市高新区高朋大道11号科技工业园F-59号
北京京客隆商业集团股份有限公司 ,北京市
, 北京市朝阳区新源街45号楼
华域汽车系统股份有限公司 ,上海市
, 上海市静安区威海路489号
山东黄金矿业股份有限公司 ,山东省
, 济南市舜华路2000号舜泰广场3号楼
北京京能电力股份有限公司 ,北京市
, 北京市石景山区广宁路10号
宁波热电股份有限公司 ,浙江省
, 宁波经济技术开发区大港工业城
平顶山天安煤业股份有限公司 ,河南省
, 河南省平顶山市矿工路２１号
张家港保税科技股份有限公司 ,云南省
, 张家港保税区石化交易大厦27-28层
云南煤业能源股份有限公司 ,云南省
, 云南省昆明经开区经开路3号科技创新园A46室
江西赣粤高速公路股份有限公司 ,江西省
, 江西省南昌市高新区火炬大街199号赣能大厦
山东高速股份有限公司 ,山东省
, 济南市文化东路29号七星吉祥大厦A座
杭州前进齿轮箱集团股份有限公司 ,浙江省
, 萧山区萧金路45号
江苏凤凰置业投资股份有限公司 ,江苏省
, 南京市中央路389号凤凰国际大厦六楼
广晟有色金属股份有限公司 ,海南省
, 海南省海口市龙华区滨海大道69号海口宝华海景大酒店8楼809房
四川川投能源股份有限公司 ,四川省
, 成都市武侯区龙江路11号
昆明中营津桥科教有限公司 ,云南省
, 云南省昆明市高新区海源北路1268号
南京新明经济开发有限公司 ,江苏省
, 南京六合区中山科技园永成路18号
广州华工百川科技有限公司 ,广东省
, 广州市萝岗区玉岩路华立街3号
浙江南浔古镇旅游发展有限公司 ,浙江省
, 湖州市南浔镇适园路徐家弄
福建省客家土楼旅游发展有限公司 ,福建省
, 永定县凤城镇河滨路1号
杭州市设备安装有限公司 ,浙江省
, 杭州市拱墅区密渡桥路23号四楼、五楼
重庆市涪陵区宏伟公路工程有限公司 ,重庆市
, 重庆市涪陵区青羊镇安镇西路37号
无锡惠山软件产业发展有限公司 ,江苏省
, 无锡惠山经济开发区智慧路18号智慧大厦
常州市春秋淹城建设投资有限公司 ,江苏省
, 武进区湖塘镇武宜南路588号常乐坊79号
浙江天台公路运输有限公司 ,浙江省
, 天台县始丰街道天台山西路501号
中兴能源有限公司 ,北京市
, 北京市朝阳区裕民路12号E3座
南京西部路桥集团有限公司 ,江苏省
, 南京市江宁区湖熟街道瑞泽路8号
鄂尔多斯市通惠供热燃气集团有限公司 ,内蒙古自治区
, 鄂尔多斯市康巴什新区乌兰木伦大街
嵊州宾馆有限公司 ,浙江省
, 嵊州市剡湖街道北艇路218号
天津市松江生态产业有限公司 ,天津市
, 天津市津南区八里台镇八里台村（农业高新技术开发区内）
南京汤山旅游发展有限公司 ,江苏省
, 南京市江宁区汤山街道汤山大道18号
常州国际机场集团有限公司 ,江苏省
, 通江南路258号
苏州高新污水处理有限公司 ,江苏省
, 苏州高新区浒关工业园
淮安市康嘉实业有限公司 ,江苏省
, 淮安经济技术开发区富誉路5号
武汉四方交通物流有限责任公司 ,湖北省
, 武汉市东西湖区东西湖大道21号（8）
福建漳龙集团有限公司 ,福建省
, 福建省漳州市芗城区胜利东路3号漳州发展广场16、17层
武汉新能实业发展有限公司 ,湖北省
, 江岸区建设大道６１８号信合大厦２０楼
昆明产业开发投资有限责任公司 ,云南省
, 昆明市青年路448号华尔顿大厦5-6层
汝城县水电有限责任公司 ,湖南省
, 汝城县城关镇文化路3号
北京鸿仪四方辐射技术股份有限公司 ,北京市
, 北京市通州区工业开发区广利街18号
株洲市国有资产投资控股集团有限公司 ,湖南省
, 株洲市天元区黄河南路455号
山东泰丰矿业集团有限公司 ,山东省
, 新泰市经济开发区
绍兴市柯桥区国有资产投资经营有限公司 ,浙江省
, 柯桥鉴湖路29号
扬州化工产业投资发展有限公司 ,江苏省
, 仪征市真州镇万年南路9号
冀东发展集团有限责任公司 ,河北省
, 唐山丰润区林荫路东侧
绵阳交通发展集团有限责任公司 ,四川省
, 绵阳市剑南路西段71号
十四冶建设集团有限公司 ,云南省
, 云南省昆明市五华区云南省昆明市西站12号-
重庆长寿经济技术开发区开发投资集团有限公司 ,重庆市
, 重庆市长寿区晏家街道办事处齐心大道F幢
金融街控股股份有限公司 ,北京市
, 北京市西城区金融大街丙17号北京银行大厦11层
长兴交通投资集团有限公司 ,浙江省
, 浙江省长兴县雉城街道明珠二路58号
株洲高科集团有限公司 ,湖南省
, 株洲开发区黄河北路火炬大厦
株洲市城市建设发展集团有限公司 ,湖南省
, 湖南省株洲市天元区联谊路86号金城大厦9-13楼
临安市城建发展有限公司 ,浙江省
, 临安市锦城街道江南市场路78号
龙里县供排水总公司 ,贵州省
, 龙里县龙山镇中山路168号
昆明发展投资集团有限公司 ,云南省
, 昆明市盘龙路25号
金坛市国发国际投资发展有限公司 ,江苏省
, 金坛市华城中路168号
青海江仓煤业有限责任公司 ,青海省
, 天峻县新源镇天棚东路88号
扬州恒基大通光电有限公司 ,江苏省
, 扬州维扬路108号开发大厦附楼
江苏铜枣实业发展有限公司 ,江苏省
, 仪征市铜山办事处枣林山庄
泰州凤城河建设发展有限公司 ,江苏省
, 泰州市东南园10号
江苏洪泽湖建设投资集团有限公司 ,江苏省
, 洪泽县城人民路12号
盐城市盐都交通建设发展有限公司 ,江苏省
, 盐城市盐都区新都街道开发大道609号交通大厦509室
宿迁市惠农农业发展股份有限公司 ,江苏省
, 宿迁市宿城新区红海路18号
海安利泰水务投资发展有限公司 ,江苏省
, 海安县海安镇河滨东路168号
南京江宁滨江新城开发建设有限公司 ,江苏省
, 南京市江宁区滨江经济开发区盛安大道739号1幢
郎溪道其建设工程有限公司 ,安徽省
, 安徽省宣城市郎溪县经济技术开发区
天津市天政基础设施建设有限公司 ,天津市
, 南开区红旗南路251号
常州民生环保科技有限公司 ,江苏省
, 常州市新北区春江镇百馨苑2幢8号
株洲高科建设工程有限公司 ,湖南省
, 天元区天平路综合楼2楼
盐城南洋经济发展实业有限公司 ,江苏省
, 盐城富康路1号
山东金阳矿业集团有限公司 ,山东省
, 泰安市宁阳县葛石镇夏庄村北
江苏云港投资发展有限公司 ,江苏省
, 连云港市连云区板桥工业园区
都江堰市集聚农业有限公司 ,四川省
, 四川省成都市都江堰市幸福镇奎光路231号
株洲新芦淞航空城产业发展有限公司 ,湖南省
, 株洲建宁经济开发区服务总部基地3楼303号
南京雨花经济技术发展有限公司 ,江苏省
, 南京市雨花经济开发区
浙江长兴环太湖经济投资开发有限公司 ,浙江省
, 长兴县雉城镇县前街桥东128号
海口美兰国际机场有限责任公司 ,海南省
, 海口市美兰区美兰国际机场
镇远县名城旅游开发经营有限责任公司 ,贵州省
, 贵州省黔东南苗族侗族自治州镇远县舞阳镇和平村内
普定县粮食购销有限责任公司 ,贵州省
, 贵州省安顺市普定县普定县城关镇红旗路375号（西交仓）
营口市老边区供热有限公司 ,辽宁省
, 老边区龙山大街45号
无锡吴文化博览园建设发展有限公司 ,江苏省
, 无锡市新区鸿山镇后宅
德清县德城园林绿化工程服务有限公司 ,浙江省
, 武康镇永安街118号
浏阳鼎盛投资有限公司 ,湖南省
, 浏阳制造产业基地纬二路1号
吉林粮食集团收储经销有限公司 ,吉林省
, 长春市绿园区春城大街1515号吉粮康郡47号楼8-9层
孝昌县供水有限公司 ,湖北省
, 孝昌县城区北京路311号
桂阳县市政工程有限公司 ,湖南省
, 桂阳县鹿峰街道蔡伦中路26号
临汾市热力供应有限公司 ,山西省
, 临汾市尧都区贡院东街步行街中段
淮安市兴淮农村经济发展有限公司 ,江苏省
, 淮安市淮安区东门大街（区人武部西侧）
德清县下渚湖湿地旅游发展有限公司 ,浙江省
, 德清县三合乡二都集镇
重庆金凤电子信息产业有限公司 ,重庆市
, 重庆市九龙坡区金凤路108号
句容新农建设发展有限公司 ,江苏省
, 句容经济开发区华阳西路（开发区管委会院内）
启东市临海公路建设工程有限公司 ,江苏省
, 启东市人民中路７２０号
湖州新城公用工程有限公司 ,浙江省
, 湖州市青铜路76、78号
洪泽县现代新农村投资发展有限公司 ,江苏省
, 洪泽县东九道北侧、东三街东侧（东九道26号县政府大楼9楼）
南京金港投资有限公司 ,江苏省
, 南京市栖霞区甘家边东108号1幢501室
扬州鼎兴开发建设有限公司 ,江苏省
, 扬州市鼎兴路89号(食品工业园内)
盱眙县天源水务有限公司 ,江苏省
, 盱眙县淮河东路18号
华容县鑫源农业发展有限公司 ,湖南省
, 华容县城关镇水乡街1号
海城市西柳物流服务有限公司 ,辽宁省
, 海城市西柳镇码头村
内蒙古庆华集团阿拉善百灵煤炭有限责任公司 ,内蒙古自治区
, 内蒙古自治区阿左旗呼鲁斯太镇百灵矿区
涟水县涟缘水务有限公司 ,江苏省
, 涟水县城今世缘大道568号
江苏武进太湖湾旅游发展有限公司 ,江苏省
, 武进区雪堰镇城湾村百渎
新沂市交通物流有限公司 ,江苏省
, 新沂市钟吾路交通大厦
安徽天润化学工业股份有限公司 ,安徽省
, 安徽省蚌埠市江淮路71号
重庆市长寿区浩湖渔业有限公司 ,重庆市
, 重庆市长寿区长寿湖镇湖滨路25号
南京路鹏建设工程有限公司 ,江苏省
, 南京市六合区横梁镇兴镇路
苏州沙家浜旅游发展有限公司 ,江苏省
, 常熟市沙家浜镇芦苇荡
重庆西彭铝产业区开发投资有限公司 ,重庆市
, 重庆市九龙坡区西彭镇铝城大道88号
江西有色建设集团有限公司 ,江西省
, 江西省南昌市红谷滩新区会展路29号
台安县供热有限责任公司 ,辽宁省
, 台安县台安镇台盘路南台安供热公司院内办公楼
营口沿海供热有限公司 ,辽宁省
, 辽宁（营口）沿海产业基地新联大街东1号
西安高新区草堂科技产业基地发展有限公司 ,陕西省
